# z_mid  n(z)  [normalised: int(n(z))dz=1]
# maglim=mag_r_lsst<=24.5  mask=dp2_24p5_combined_mask_nmin=500_nside=512.fits
# N_total=185018080  N_maglim=137134326  N_final=104471348
# area_deg2=1351.8398  f_sky=0.032770  n_bar_arcmin2=21.466907  n_bar_deg2=77280.8652
2.612499999999999822e+00 1.679323952901353584e-02
2.637500000000000178e+00 1.545313541443287322e-02
2.662500000000000533e+00 1.441942835377176685e-02
2.687500000000000000e+00 1.374573783146613992e-02
2.712500000000000355e+00 1.298280916720644280e-02
2.737499999999999822e+00 1.207932085446114696e-02
2.762500000000000178e+00 1.153661507270613111e-02
2.787500000000000533e+00 1.112987298362791942e-02
2.812500000000000000e+00 1.083496581923034524e-02
2.837500000000000355e+00 1.042171279275634285e-02
2.862499999999999822e+00 1.004446142011788771e-02
2.887500000000000178e+00 9.662614091670639754e-03
2.912500000000000533e+00 9.357749023020679388e-03
2.937500000000000000e+00 9.110333401980636250e-03
2.962500000000000355e+00 8.849895906149013447e-03
2.987499999999999822e+00 8.147480660038428774e-03
